Region,Label,FHG_10KBP,FHG_8KBP,FHG_6KBP,FHG_4KBP,FHG_3KBP,FHG_2KBP,FHG_1KBP,FHG_1500CE,FHG_1750CE,FHG_1850CE,EXAGR_10KBP,EXAGR_8KBP,EXAGR_6KBP,EXAGR_4KBP,EXAGR_3KBP,EXAG_2KBP,EXAG_1KBP,EXAG_1500CE,EXAG_1750CE,EXAG_1850CE,INAG_10KBP,INAG_8KBP,INAG_6KBP,INAG_4KBP,INAG_3KBP,INAG_2KBP,INAG_1KBP,INAG_1500CE,INAG_1750CE,INAG_1850CE,PAS_10KBP,PAS_8KBP,PAS_6KBP,PAS_4KBP,PAS_3KBP,PAS_2KBP,PAS_1KBP,PAS_1500CE,PAS_1750CE,PAS_1850CE
66,Northern Algeria,Widespread,Widespread,Widespread,Common,Minimal,Minimal,None,None,None,None,None,None,None,Common,Common,Widespread,Common,Common,Common,Common,None,None,None,None,None,Common,Common,Common,Common,Common,None,Minimal,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread
67,Tunisia,Common,Common,Common,Common,Minimal,None,None,Minimal,None,None,None,None,None,Common,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Minimal,Widespread,Common,Common,Common,Common,None,Minimal,Common,Common,Widespread,Common,Widespread,Common,Common,Common
68,Southern Algeria,Widespread,Widespread,Common,Minimal,None,None,None,None,None,None,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
69,Northwestern Libya,Widespread,Widespread,Widespread,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Common,Common,Common,Common,Widespread,Widespread,Widespread,None,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,None,Minimal,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread
70,Southern Libya,Widespread,Widespread,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Minimal,Common,Common,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Common,Widespread,Common,Widespread,Widespread,Widespread,Widespread,Widespread
71,Northeastern Libya,Widespread,Widespread,Common,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Common,Common,Common,Common,Widespread,Widespread,Widespread,None,None,None,None,None,Common,Common,Common,Common,Common,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
72,Egypt,Widespread,Widespread,Widespread,Common,Common,Common,Common,Common,Common,Common,None,None,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,None,Minimal,Widespread,Common,Common,Widespread,Widespread,Widespread,Common,Common
73,Sudan,Widespread,Widespread,Widespread,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Common,Common,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
74,Mauritania,Widespread,Widespread,Widespread,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Common,Common,Minimal,None,None,None,None,None,None,None,None,None,Common,Common,Common,Common,None,None,None,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
75,"Senegal, The Gambia, and Guinea-Bissau",Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,Common,None,None,None,None,None,Widespread,Widespread,Common,Common,Common,None,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,None,None,None,None,None,Widespread,Widespread,Widespread,Widespread,Widespread
76,Mali,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,Common,None,None,Minimal,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Common,Widespread,Widespread,Widespread,Widespread,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
77,"Guinea, Sierra Leone, Liberia, and Côte d'Ivoire",Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Widespread,Common,Minimal,Common,Common,None,None,None,None,None,None,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,None
78,Burkina Faso,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Minimal,Minimal,None,None,None,Minimal,Common,Widespread,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Common,Common,Common,Common,None,None,None,None,None,Common,Common,Widespread,Widespread,Widespread
79,"Ghana, Togo, and Benin",Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,None,None,None,Minimal,Minimal,Common,Common,Minimal,Minimal,Minimal,None,None,None,None,None,None,Common,Common,Common,Widespread,None,None,None,None,None,Minimal,Common,Common,Common,Common
80,Niger,Widespread,Widespread,Common,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Common,Common,None,None,None,None,None,None,None,None,None,Minimal,Common,Minimal,Minimal,Minimal,None,None,Minimal,Common,Common,Widespread,Widespread,Common,Common,Common
